                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.36753,                0.39344,                      1,                0.63354,              0.0001785,              0.0001785,              0.0001785
                      1,                0.28512,                0.44262,                      1,                0.63403,             0.00034612,             0.00034612,             0.00034612
                      2,                0.20056,                0.36066,                      1,                  0.625,             0.00049535,             0.00049535,             0.00049535
                      3,                0.12215,                0.39344,                      1,                0.61108,             0.00060797,             0.00060797,             0.00060797
                      4,                0.07292,                0.44262,                      1,                0.60352,             0.00060797,             0.00060797,             0.00060797
                      5,                0.04061,                0.45902,                      1,                0.60547,             0.00057263,             0.00057263,             0.00057263
                      6,                0.02248,                0.47541,                      1,                0.60229,             0.00053728,             0.00053728,             0.00053728
                      7,                0.01339,                0.47541,                      1,                0.60498,             0.00050194,             0.00050194,             0.00050194
                      8,                0.01035,                0.47541,                      1,                0.60425,              0.0004666,              0.0004666,              0.0004666
                      9,                0.00608,                0.47541,                      1,                0.60083,             0.00043126,             0.00043126,             0.00043126
                     10,                 0.0065,                0.45902,                      1,                0.60107,             0.00039591,             0.00039591,             0.00039591
                     11,                0.00793,                0.44262,                      1,                0.60425,             0.00036057,             0.00036057,             0.00036057
                     12,                0.00441,                0.44262,                      1,                0.59912,             0.00032523,             0.00032523,             0.00032523
                     13,                0.00365,                0.47541,                      1,                0.59131,             0.00028988,             0.00028988,             0.00028988
                     14,                0.00421,                0.45902,                      1,                0.59473,             0.00025454,             0.00025454,             0.00025454
                     15,                0.00321,                0.47541,                      1,                0.59521,              0.0002192,              0.0002192,              0.0002192
                     16,                0.00333,                 0.4918,                      1,                0.59448,             0.00018385,             0.00018385,             0.00018385
                     17,                0.00299,                0.47541,                      1,                 0.5896,             0.00014851,             0.00014851,             0.00014851
                     18,                0.00332,                0.47541,                      1,                0.59131,             0.00011317,             0.00011317,             0.00011317
                     19,                 0.0023,                0.47541,                      1,                0.59497,             7.7826e-05,             7.7826e-05,             7.7826e-05
